_id,error,mode,plug_exist,plug_mode,plug_pow,power_count,powerdata
ObjectId(5bbebfa624aa9a0e4ad4218b),1,GET_POW," 0"," 1"," 1"," 1",150
ObjectId(5bbebfa724aa9a0e4ad4218d),1,GET_POW," 0"," 1"," 1"," 1",9600
ObjectId(5bbebfa724aa9a0e4ad4218e),1,GET_POW," 0"," 1"," 1"," 1",3780
ObjectId(5bbebfa824aa9a0e4ad4218f),1,GET_POW," 0"," 1"," 1"," 1",8775
ObjectId(5bbebfa824aa9a0e4ad42190),1,GET_POW," 0"," 1"," 1"," 1",3853
ObjectId(5bbebfa924aa9a0e4ad42191),1,GET_POW," 0"," 1"," 1"," 1",10
ObjectId(5bbebfa924aa9a0e4ad42192),1,GET_POW," 0"," 1"," 1"," 1",8834
ObjectId(5bbebfaa24aa9a0e4ad42193),1,GET_POW," 0"," 1"," 1"," 1",1
ObjectId(5bbebfaa24aa9a0e4ad42194),1,GET_POW," 0"," 1"," 1"," 1",8961
ObjectId(5bbebfaa24aa9a0e4ad42195),1,GET_POW," 0"," 1"," 1"," 1",7974
ObjectId(5bbebfab24aa9a0e4ad42196),1,GET_POW," 0"," 1"," 1"," 1",4581
ObjectId(5bbebfac24aa9a0e4ad42197),1,GET_POW," 0"," 1"," 1"," 1",2542
ObjectId(5bbebfac24aa9a0e4ad42198),1,GET_POW," 0"," 1"," 1"," 1",9712
ObjectId(5bbebfad24aa9a0e4ad42199),1,GET_POW," 0"," 1"," 1"," 1",7536
ObjectId(5bbebfad24aa9a0e4ad4219a),1,GET_POW," 0"," 1"," 1"," 1",384
ObjectId(5bbebfae24aa9a0e4ad4219b),1,GET_POW," 0"," 1"," 1"," 1",5252
ObjectId(5bbebfae24aa9a0e4ad4219c),1,GET_POW," 0"," 1"," 1"," 1",2189
ObjectId(5bbebfaf24aa9a0e4ad4219d),1,GET_POW," 0"," 1"," 1"," 1",9719
ObjectId(5bbebfaf24aa9a0e4ad4219e),1,GET_POW," 0"," 1"," 1"," 1",2445
ObjectId(5bbebfb024aa9a0e4ad4219f),1,GET_POW," 0"," 1"," 1"," 1",5083
ObjectId(5bbebfb024aa9a0e4ad421a0),1,GET_POW," 0"," 1"," 1"," 1",332
ObjectId(5bbebfb024aa9a0e4ad421a1),1,GET_POW," 0"," 1"," 1"," 1",6630
ObjectId(5bbebfb124aa9a0e4ad421a2),1,GET_POW," 0"," 1"," 1"," 1",9529
ObjectId(5bbebfb224aa9a0e4ad421a4),1,GET_POW," 0"," 1"," 1"," 1",5514
ObjectId(5bbebfb224aa9a0e4ad421a3),1,GET_POW," 0"," 1"," 1"," 1",2322
ObjectId(5bbebfb324aa9a0e4ad421a5),1,GET_POW," 0"," 1"," 1"," 1",6972
ObjectId(5bbebfb324aa9a0e4ad421a6),1,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfb424aa9a0e4ad421a8),1,GET_POW," 0"," 1"," 1"," 1",4551
ObjectId(5bbebfb424aa9a0e4ad421a7),1,GET_POW," 0"," 1"," 1"," 1",7670
ObjectId(5bbebfb524aa9a0e4ad421a9),1,GET_POW," 0"," 1"," 1"," 1",2168
ObjectId(5bbebfb524aa9a0e4ad421aa),1,GET_POW," 0"," 1"," 1"," 1",427
ObjectId(5bbebfb524aa9a0e4ad421ab),1,GET_POW," 0"," 1"," 1"," 1",491
ObjectId(5bbebfb624aa9a0e4ad421ac),1,GET_POW," 0"," 1"," 1"," 1",5767
ObjectId(5bbebfb724aa9a0e4ad421ad),0,GET_POW," 0"," 1"," 1"," 1",7006
ObjectId(5bbebfb724aa9a0e4ad421ae),0,GET_POW," 0"," 1"," 1"," 1",183
ObjectId(5bbebfb824aa9a0e4ad421af),0,GET_POW," 0"," 1"," 1"," 1",9633
ObjectId(5bbebfb824aa9a0e4ad421b0),0,GET_POW," 0"," 1"," 1"," 1",9721
ObjectId(5bbebfb924aa9a0e4ad421b2),0,GET_POW," 0"," 1"," 1"," 1",9708
ObjectId(5bbebfb924aa9a0e4ad421b1),0,GET_POW," 0"," 1"," 1"," 1",9706
ObjectId(5bbebfba24aa9a0e4ad421b4),0,GET_POW," 0"," 1"," 1"," 1",9713
ObjectId(5bbebfba24aa9a0e4ad421b3),0,GET_POW," 0"," 1"," 1"," 1",9701
ObjectId(5bbebfbb24aa9a0e4ad421b5),0,GET_POW," 0"," 1"," 1"," 1",9702
ObjectId(5bbebfbb24aa9a0e4ad421b6),0,GET_POW," 0"," 1"," 1"," 1",9711
ObjectId(5bbebfbb24aa9a0e4ad421b7),0,GET_POW," 0"," 1"," 1"," 1",9688
ObjectId(5bbebfbc24aa9a0e4ad421b8),0,GET_POW," 0"," 1"," 1"," 1",9710
ObjectId(5bbebfbd24aa9a0e4ad421b9),0,GET_POW," 0"," 1"," 1"," 1",9714
ObjectId(5bbebfbd24aa9a0e4ad421ba),0,GET_POW," 0"," 1"," 1"," 1",9719
ObjectId(5bbebfbe24aa9a0e4ad421bb),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfbe24aa9a0e4ad421bc),0,GET_POW," 0"," 1"," 1"," 1",5405
ObjectId(5bbebfbf24aa9a0e4ad421be),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfbf24aa9a0e4ad421bd),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc024aa9a0e4ad421c0),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc024aa9a0e4ad421bf),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc124aa9a0e4ad421c2),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc124aa9a0e4ad421c1),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc224aa9a0e4ad421c4),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc224aa9a0e4ad421c3),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc324aa9a0e4ad421c5),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc324aa9a0e4ad421c6),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc424aa9a0e4ad421c7),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc424aa9a0e4ad421c8),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc524aa9a0e4ad421ca),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc524aa9a0e4ad421c9),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc624aa9a0e4ad421cb),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc624aa9a0e4ad421cc),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc624aa9a0e4ad421cd),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc724aa9a0e4ad421ce),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc824aa9a0e4ad421d0),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc824aa9a0e4ad421cf),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfc924aa9a0e4ad421d2),0,GET_POW," 0"," 1"," 1"," 1",933
ObjectId(5bbebfc924aa9a0e4ad421d1),0,GET_POW," 0"," 1"," 1"," 1",9724
ObjectId(5bbebfca24aa9a0e4ad421d4),0,GET_POW," 0"," 1"," 1"," 1",9700
ObjectId(5bbebfca24aa9a0e4ad421d3),0,GET_POW," 0"," 1"," 1"," 1",9690
ObjectId(5bbebfcb24aa9a0e4ad421d5),0,GET_POW," 0"," 1"," 1"," 1",9702
ObjectId(5bbebfcb24aa9a0e4ad421d6),0,GET_POW," 0"," 1"," 1"," 1",9706
ObjectId(5bbebfcc24aa9a0e4ad421d7),0,GET_POW," 0"," 1"," 1"," 1",9703
ObjectId(5bbebfcc24aa9a0e4ad421d8),0,GET_POW," 0"," 1"," 1"," 1",9701
ObjectId(5bbebfcd24aa9a0e4ad421da),0,GET_POW," 0"," 1"," 1"," 1",9699
ObjectId(5bbebfcd24aa9a0e4ad421d9),0,GET_POW," 0"," 1"," 1"," 1",9705
ObjectId(5bbebfce24aa9a0e4ad421db),0,GET_POW," 0"," 1"," 1"," 1",9707
ObjectId(5bbebfce24aa9a0e4ad421dc),0,GET_POW," 0"," 1"," 1"," 1",9707
ObjectId(5bbebfcf24aa9a0e4ad421dd),0,GET_POW," 0"," 1"," 1"," 1",9706
ObjectId(5bbebfcf24aa9a0e4ad421de),0,GET_POW," 0"," 1"," 1"," 1",9710
ObjectId(5bbebfd024aa9a0e4ad421df),0,GET_POW," 0"," 1"," 1"," 1",9709
ObjectId(5bbebfd024aa9a0e4ad421e0),0,GET_POW," 0"," 1"," 1"," 1",9698
ObjectId(5bbebfd124aa9a0e4ad421e1),0,GET_POW," 0"," 1"," 1"," 1",9698
ObjectId(5bbebfd124aa9a0e4ad421e3),0,GET_POW," 0"," 1"," 1"," 1",9653
ObjectId(5bbebfd124aa9a0e4ad421e2),0,GET_POW," 0"," 1"," 1"," 1",9688
ObjectId(5bbebfd224aa9a0e4ad421e4),0,GET_POW," 0"," 1"," 1"," 1",9703
ObjectId(5bbebfd324aa9a0e4ad421e6),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd324aa9a0e4ad421e5),0,GET_POW," 0"," 1"," 1"," 1",6177
ObjectId(5bbebfd424aa9a0e4ad421e8),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd424aa9a0e4ad421e7),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd524aa9a0e4ad421e9),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd524aa9a0e4ad421ea),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd624aa9a0e4ad421eb),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd624aa9a0e4ad421ec),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd724aa9a0e4ad421ed),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd724aa9a0e4ad421ee),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd824aa9a0e4ad421ef),0,GET_POW," 0"," 1"," 1"," 1",6570
ObjectId(5bbebfd824aa9a0e4ad421f0),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfd924aa9a0e4ad421f1),0,GET_POW," 0"," 1"," 1"," 1",9744
ObjectId(5bbebfd924aa9a0e4ad421f2),0,GET_POW," 0"," 1"," 1"," 1",9739
ObjectId(5bbebfda24aa9a0e4ad421f3),0,GET_POW," 0"," 1"," 1"," 1",9736
ObjectId(5bbebfda24aa9a0e4ad421f4),0,GET_POW," 0"," 1"," 1"," 1",9720
ObjectId(5bbebfdb24aa9a0e4ad421f6),0,GET_POW," 0"," 1"," 1"," 1",9713
ObjectId(5bbebfdb24aa9a0e4ad421f5),0,GET_POW," 0"," 1"," 1"," 1",9718
ObjectId(5bbebfdc24aa9a0e4ad421f7),0,GET_POW," 0"," 1"," 1"," 1",9700
ObjectId(5bbebfdc24aa9a0e4ad421f9),0,GET_POW," 0"," 1"," 1"," 1",9707
ObjectId(5bbebfdc24aa9a0e4ad421f8),0,GET_POW," 0"," 1"," 1"," 1",9709
ObjectId(5bbebfdd24aa9a0e4ad421fa),0,GET_POW," 0"," 1"," 1"," 1",9691
ObjectId(5bbebfde24aa9a0e4ad421fb),0,GET_POW," 0"," 1"," 1"," 1",9683
ObjectId(5bbebfde24aa9a0e4ad421fc),0,GET_POW," 0"," 1"," 1"," 1",9673
ObjectId(5bbebfdf24aa9a0e4ad421fd),0,GET_POW," 0"," 1"," 1"," 1",9680
ObjectId(5bbebfdf24aa9a0e4ad421fe),0,GET_POW," 0"," 1"," 1"," 1",8882
ObjectId(5bbebfe024aa9a0e4ad421ff),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe024aa9a0e4ad42200),0,GET_POW," 0"," 1"," 1"," 1",14
ObjectId(5bbebfe124aa9a0e4ad42201),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe124aa9a0e4ad42202),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe224aa9a0e4ad42204),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe224aa9a0e4ad42203),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe324aa9a0e4ad42206),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe324aa9a0e4ad42205),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe424aa9a0e4ad42208),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe424aa9a0e4ad42207),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe524aa9a0e4ad4220a),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe524aa9a0e4ad42209),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe624aa9a0e4ad4220c),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe624aa9a0e4ad4220b),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfe724aa9a0e4ad4220f),0,GET_POW," 0"," 1"," 1"," 1",9719
ObjectId(5bbebfe724aa9a0e4ad4220d),0,GET_POW," 0"," 1"," 1"," 1",3544
ObjectId(5bbebfe724aa9a0e4ad4220e),0,GET_POW," 0"," 1"," 1"," 1",9726
ObjectId(5bbebfe824aa9a0e4ad42210),0,GET_POW," 0"," 1"," 1"," 1",9710
ObjectId(5bbebfe924aa9a0e4ad42211),0,GET_POW," 0"," 1"," 1"," 1",9692
ObjectId(5bbebfe924aa9a0e4ad42212),0,GET_POW," 0"," 1"," 1"," 1",9686
ObjectId(5bbebfea24aa9a0e4ad42213),0,GET_POW," 0"," 1"," 1"," 1",3095
ObjectId(5bbebfea24aa9a0e4ad42214),0,GET_POW," 0"," 1"," 1"," 1",9691
ObjectId(5bbebfeb24aa9a0e4ad42216),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfeb24aa9a0e4ad42215),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfec24aa9a0e4ad42217),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfec24aa9a0e4ad42218),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebfed24aa9a0e4ad42219),0,GET_POW," 0"," 1"," 1"," 1",9694
ObjectId(5bbebfed24aa9a0e4ad4221b),0,GET_POW," 0"," 1"," 1"," 1",7791
ObjectId(5bbebfed24aa9a0e4ad4221a),0,GET_POW," 0"," 1"," 1"," 1",9679
ObjectId(5bbebfee24aa9a0e4ad4221c),0,GET_POW," 0"," 1"," 1"," 1",9673
ObjectId(5bbebfef24aa9a0e4ad4221d),0,GET_POW," 0"," 1"," 1"," 1",7434
ObjectId(5bbebfef24aa9a0e4ad4221e),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebff024aa9a0e4ad4221f),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebff024aa9a0e4ad42220),0,GET_POW," 0"," 1"," 1"," 1",4538
ObjectId(5bbebff124aa9a0e4ad42221),0,GET_POW," 0"," 1"," 1"," 1",9683
ObjectId(5bbebff124aa9a0e4ad42222),0,GET_POW," 0"," 1"," 1"," 1",9693
ObjectId(5bbebff224aa9a0e4ad42224),0,GET_POW," 0"," 1"," 1"," 1",9691
ObjectId(5bbebff224aa9a0e4ad42223),0,GET_POW," 0"," 1"," 1"," 1",9682
ObjectId(5bbebff324aa9a0e4ad42225),0,GET_POW," 0"," 1"," 1"," 1",9674
ObjectId(5bbebff324aa9a0e4ad42226),0,GET_POW," 0"," 1"," 1"," 1",9679
ObjectId(5bbebff424aa9a0e4ad42227),0,GET_POW," 0"," 1"," 1"," 1",9692
ObjectId(5bbebff424aa9a0e4ad42228),0,GET_POW," 0"," 1"," 1"," 1",9679
ObjectId(5bbebff524aa9a0e4ad42229),0,GET_POW," 0"," 1"," 1"," 1",9679
ObjectId(5bbebff524aa9a0e4ad4222a),0,GET_POW," 0"," 1"," 1"," 1",9667
ObjectId(5bbebff624aa9a0e4ad4222b),0,GET_POW," 0"," 1"," 1"," 1",9673
ObjectId(5bbebff624aa9a0e4ad4222c),0,GET_POW," 0"," 1"," 1"," 1",1638
ObjectId(5bbebff724aa9a0e4ad4222e),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebff724aa9a0e4ad4222d),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebff824aa9a0e4ad4222f),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebff824aa9a0e4ad42230),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebff824aa9a0e4ad42231),0,GET_POW," 0"," 1"," 1"," 1",0
